location,date,,,record_max_temp,,,record_min_temp
Albury,1/1/2015,,,22.9,,,13.4
Albury,1/2/2015,,,25.1,,,7.4
Albury,1/3/2015,,,25.7,,,12.9
Albury,1/4/2015,,,28,,,9.2
Albury,1/5/2015,,,32.3,,,17.5
Albury,1/6/2015,,,29.7,,,14.6
Albury,1/7/2015,,,25,,,14.3
Albury,1/8/2015,,,26.7,,,7.7
Albury,1/9/2015,,,31.9,,,9.7
Albury,1/10/2015,,,30.1,,,13.1
Albury,1/11/2015,,,30.4,,,13.4
Albury,1/12/2015,,,21.7,,,15.9
Albury,1/13/2015,,,18.6,,,15.9
Albury,1/14/2015,,,21,,,12.6
Albury,1/15/2015,,,24.6,,,8.4
Albury,1/16/2015,,,27.7,,,9.8
Albury,1/17/2015,,,20.9,,,14.1
Albury,1/18/2015,,,22.9,,,13.5
Albury,1/19/2015,,,22.5,,,11.2
Albury,1/20/2015,,,25.6,,,9.8
Albury,1/21/2015,,,29.3,,,11.5
Albury,1/22/2015,,,33,,,17.1
Albury,1/23/2015,,,31.8,,,20.5
Albury,1/24/2015,,,30.9,,,15.3
Albury,1/25/2015,,,32.4,,,12.6
Albury,1/26/2015,,,33.9,,,16.2
Albury,1/27/2015,,,33,,,16.9
Albury,1/28/2015,,,32.7,,,20.1
Albury,1/29/2015,,,27.2,,,19.7
Albury,1/30/2015,,,24.2,,,12.5
Albury,1/31/2015,,,24.4,,,12
Albury,2/1/2015,,,26.5,,,11.3
Albury,2/2/2015,,,23.9,,,9.6
Albury,2/3/2015,,,28.8,,,10.5
Albury,2/4/2015,,,34.6,,,12.3
Albury,2/5/2015,,,35.8,,,12.9
Albury,2/6/2015,,,37.9,,,13.7
Albury,2/7/2015,,,38.9,,,16.1
Albury,2/8/2015,,,28.3,,,14
Albury,2/9/2015,,,28.4,,,12.5
Albury,2/10/2015,,,30.8,,,17
Albury,2/11/2015,,,32,,,16.9
Albury,2/12/2015,,,34.7,,,17.3
Albury,2/13/2015,,,37.7,,,17.2
Albury,2/14/2015,,,43,,,17.4
Albury,2/15/2015,,,32.7,,,19.8
Albury,2/16/2015,,,26.7,,,14.9
Albury,2/17/2015,,,28.4,,,10.5
Albury,2/18/2015,,,32.2,,,11.3
Albury,2/19/2015,,,36.6,,,13.9
Albury,2/20/2015,,,39.9,,,18.6
Albury,2/21/2015,,,38.1,,,19.3
Albury,2/22/2015,,,34,,,24.4
Albury,2/23/2015,,,35.2,,,18.8
Albury,2/24/2015,,,30.6,,,20.8
Albury,2/25/2015,,,34.3,,,14
Albury,2/26/2015,,,38.4,,,15.7
Albury,2/27/2015,,,38.2,,,18.5
Albury,2/28/2015,,,40.7,,,20.4
Albury,3/1/2015,,,41.5,,,21.8
Albury,3/2/2015,,,42.9,,,22.3
Albury,3/3/2015,,,42.7,,,22
Albury,3/4/2015,,,43.1,,,28
Albury,3/5/2015,,,38.3,,,24.4
Albury,3/6/2015,,,37.7,,,21.5
Albury,3/7/2015,,,36.9,,,21.7
Albury,3/8/2015,,,41.2,,,21.5
Albury,3/9/2015,,,42.2,,,23.5
